"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2692","59","GO Biological Process","","Response to organic substance","1.16E-20","CEACAM1|TBX21|OSM|USP18|AQP9|AMH|HGF|GCK|MPO|CCR7|IL1RN|RORA|WNT5A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PPARGC1B|ANGPT2|RORC|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|TLR9|NR5A2|SGK1|RBP4|CARD9|ADA|ABCA1|PRKCZ|LY86|LILRB4|CYP19A1|TRPM2|POMC|NPPC|TNF|AGTR1|TRPV4|TRIB3|MME|CYP2E1|NR4A1|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","40149","18037|17893|17935|17971|18055|17869|18130|18112|17785|17944|17794|17821|17812|18049|18040|17896|18124|18133|18013|17776|17908|17992|18019|17857|17842|18034|18079|18145|17953|18148|17830|17917|17980|18139|17926|17923|17983|17905|18001|18064|17773|17851|18031|18010|17911|17875|18097|18109|17782|17884|17878|17818|18058|17989|18100|17920|17845|17932|18004","7.37E-25","","GO:0010033","1.993554201077308","0"
"3367","64","GO Biological Process","","Regulation of signaling","2.68E-20","CEACAM1|MIF|OSM|USP18|RIPK3|HGF|GCK|CCR7|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|NOS3|ADORA2B|MET|CD28|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|TLR9|CD3E|SGK1|RBP4|CARD9|ADA|ABCA1|PRKCZ|LY86|IRF4|LILRB4|CYP19A1|TRPM2|POMC|NPPC|ACE2|TNF|AGTR1|TRPV4|MME|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17803|17935|17971|18121|18130|18112|17944|17794|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18013|17791|17860|18067|18019|17857|17842|18034|18079|18145|18148|18151|17917|17980|18139|17926|17923|17983|17905|18103|18001|18064|17773|17851|18031|17887|18010|17911|17875|18109|17950|18082|17878|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","3.42E-24","","GO:0023051","1.957186520597121","0"
"1547","46","GO Biological Process","","Response to oxygen-containing compound","6.06E-20","CEACAM1|RIPK3|AQP9|GCK|MPO|CCR7|RORA|WNT5A|PDE3B|PPARG|ACE|CCR5|NOS3|PPARGC1B|ANGPT2|RORC|CD86|NLRP3|ARG1|CX3CR1|STAT4|TLR9|SGK1|RBP4|CARD9|ABCA1|PRKCZ|LY86|CYP19A1|TRPM2|POMC|NPPC|TNF|AGTR1|TRPV4|TRIB3|CYP2E1|NR4A1|LDLR|GIPR|SARM1|CCL5|ACACA|TLR5|SOCS1|ENPP1","40149","18037|18121|18055|18112|17785|17944|17821|17812|18049|18040|17896|18133|18013|17776|17908|17992|18019|17857|18034|18145|17953|18148|17917|17980|18139|17923|17983|17905|18064|17773|17851|18031|18010|17911|17875|18097|17782|17884|17878|17818|18058|17989|17920|17845|17932|18004","1.16E-23","","GO:1901700","1.9217527375833714","0"
"3355","63","GO Biological Process","","Regulation of cell communication","8.47E-20","CEACAM1|MIF|OSM|USP18|RIPK3|HGF|GCK|CCR7|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|NOS3|ADORA2B|MET|CD28|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|TLR9|CD3E|SGK1|RBP4|CARD9|ADA|ABCA1|PRKCZ|LY86|IRF4|LILRB4|CYP19A1|TRPM2|POMC|NPPC|ACE2|TNF|AGTR1|TRPV4|MME|DOCK2|AGAP2|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17803|17935|17971|18121|18130|18112|17944|17794|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18013|17791|17860|18067|18019|17857|17842|18034|18079|18145|18148|18151|17917|17980|18139|17926|17923|17983|17905|18103|18001|18064|17773|17851|18031|17887|18010|17911|17875|18109|17950|18082|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","2.16E-23","","GO:0010646","1.9072116589669292","0"
"964","38","GO Biological Process","","Regulation of response to external stimulus","8.85E-20","CEACAM1|MIF|OSM|USP18|HGF|CCR7|GGT1|RORA|NLRC5|WNT5A|PPARG|ACE|CCR2|F2RL1|NOS3|ADORA2B|ANGPT2|MET|CD28|NLRP3|ARG1|CX3CR1|DPP4|TLR9|CARD9|ADA|LY86|CYP19A1|POMC|ACE2|TNF|AGTR1|TRPV4|LDLR|CCL5|CCL4|DAPK2|SOCS1","40149","18037|17803|17935|17971|18130|17944|18106|17821|18085|17812|18040|17896|18124|17965|18013|17791|17908|17860|18067|17857|18034|18145|17866|18148|18139|17926|17905|18064|17851|17887|18010|17911|17875|17878|17989|18100|17836|17932","2.82E-23","","GO:0032101","1.9053056729302174","0"
"3931","66","GO Biological Process","","Regulation of response to stimulus","9.42E-19","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|HGF|CCR7|GGT1|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|NOS3|ADORA2B|ANGPT2|MET|CD28|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|DPP4|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|LY86|IRF4|LILRB4|CYP19A1|TRPM2|POMC|CD8A|NPPC|ACE2|TNF|AGTR1|TRPV4|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17893|17803|17935|17971|18121|18130|17944|18106|17794|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18013|17791|17908|17860|18067|18019|17857|17842|18034|18079|18145|17866|18148|18151|17917|18139|17926|17923|17983|17905|18103|18001|18064|17773|17851|17806|18031|17887|18010|17911|17875|17950|18082|17878|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","3.6E-22","","GO:0048583","1.8025949097207121","0"
"1438","43","GO Biological Process","","Regulation of immune system process","1.12E-18","CEACAM1|TBX21|MIF|USP18|RIPK3|CCR7|GGT1|RORA|NLRC5|WNT5A|PPARG|CCR2|MERTK|F2RL1|ADORA2B|PPARGC1B|CD28|CD86|NLRP3|GATA2|ARG1|CX3CR1|DPP4|TLR9|CD3E|RBP4|CARD9|ADA|PRKCZ|IRF4|LILRB4|CYP19A1|POMC|CD8A|TNF|TRPV4|LDLR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS1","40149","18037|17893|17803|17971|18121|17944|18106|17821|18085|17812|18040|18124|18070|17965|17791|17776|18067|18019|17857|17842|18034|18145|17866|18148|18151|17980|18139|17926|17983|18103|18001|18064|17851|17806|18010|17875|17878|18058|17989|18100|17836|17845|17932","5.0E-22","","GO:0002682","1.7950781977329817","0"
"4010","66","GO Biological Process","","Response to chemical","2.17E-18","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|AQP9|AMH|HGF|GCK|MPO|CCR7|IL1RN|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|NRG1|ACE|CCR2|CCR5|NOS3|PPARGC1B|ANGPT2|MET|RORC|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|DPP4|TLR9|NR5A2|SGK1|RBP4|CARD9|ADA|ABCA1|PRKCZ|LY86|LILRB4|CYP19A1|TRPM2|POMC|NPPC|TNF|AGTR1|TRPV4|TRIB3|MME|DOCK2|CYP2E1|NR4A1|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","40149","18037|17893|17803|17935|17971|18121|18055|17869|18130|18112|17785|17944|17794|17821|17812|17956|18049|18040|17938|17896|18124|18133|18013|17776|17908|17860|17992|18019|17857|17842|18034|18079|18145|17953|17866|18148|17830|17917|17980|18139|17926|17923|17983|17905|18001|18064|17773|17851|18031|18010|17911|17875|18097|18109|17950|17782|17884|17878|17818|18058|17989|18100|17920|17845|17932|18004","1.1E-21","","GO:0042221","1.7663540266151472","0"
"6207","79","GO Biological Process","","Positive regulation of biological process","1.26E-17","CEACAM1|TBX21|MIF|OSM|RIPK3|AMH|HGF|GCK|CCR7|RORA|NLRC5|WNT5A|DNAJC27|PPARGC1A|PPARG|NRG1|ACE|S100B|CCR2|MERTK|F2RL1|NOS3|ADORA2B|CD248|PPARGC1B|ANGPT2|MET|CD28|RORC|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|RBP4|CARD9|ADA|LCN2|ABCA1|PRKCZ|LY86|IRF4|SIRT3|LILRB4|ADM2|CYP19A1|FITM2|TRPM2|POMC|CD8A|NPPC|ACE2|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|NR4A1|AGAP2|LDLR|GIPR|SARM1|CCL5|KCP|ANGPTL8|CCL4|DAPK2|TLR5|SOCS1","40149","18037|17893|17803|17935|18121|17869|18130|18112|17944|17821|18085|17812|17998|17956|18040|17938|17896|17977|18124|18070|17965|18013|17791|18115|17776|17908|17860|18067|17992|18019|17857|17842|18034|18079|18145|17953|17866|18148|18151|17830|17917|17980|18139|17926|17779|17923|17983|17905|18103|17959|18001|17881|18064|18076|17773|17851|17806|18031|17887|18091|18010|17911|17914|17875|18097|18109|17950|17884|18082|17878|17818|18058|17989|18043|17902|18100|17836|17845|17932","7.23E-21","","GO:0048518","1.6899629454882437","0"
"6357","79","GO Biological Process","","Cellular response to stimulus","5.68E-17","CEACAM1|TBX21|MIF|OSM|RIPK3|AQP9|AMH|HGF|GCK|MPO|CCR7|IL1RN|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|CCR2|CCR5|MERTK|F2RL1|NOS3|ADORA2B|PPARGC1B|ANGPT2|MET|CD28|RORC|CD86|NLRP3|ARG1|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|CARD9|ADA|ABCA1|PRKCZ|LY86|LILRB4|NRG4|ADM2|TRPM2|POMC|CD8A|NPPC|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CYP2E1|NR4A1|AGAP2|GPR84|LDLR|GIPR|SARM1|CCL5|ANGPTL8|CCL4|ACACA|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17893|17803|17935|18121|18055|17869|18130|18112|17785|17944|17794|17821|18085|17812|17956|17968|18049|18040|17938|17896|18124|18133|18070|17965|18013|17791|17776|17908|17860|18067|17992|18019|17857|18034|18079|18145|17953|17866|18148|18151|17830|17917|18139|17926|17923|17983|17905|18001|18118|17881|17773|17851|17806|18031|18091|18010|17911|17914|17875|18097|18109|17950|17782|17884|18082|18046|17878|17818|18058|17989|17902|18100|17920|17836|17845|17932|18004|17848","3.62E-20","","GO:0051716","1.6245651664288983","0"
"2978","56","GO Biological Process","","Regulation of signal transduction","6.34E-17","CEACAM1|MIF|OSM|USP18|RIPK3|HGF|CCR7|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|S100B|CCR2|F2RL1|NOS3|ADORA2B|MET|CD28|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|LY86|IRF4|LILRB4|POMC|NPPC|ACE2|TNF|TRPV4|DOCK2|AGAP2|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17803|17935|17971|18121|18130|17944|17794|17821|18085|17812|17998|17968|18049|18040|17938|17977|18124|17965|18013|17791|17860|18067|18019|17857|17842|18034|18079|18145|18148|18151|17917|18139|17926|17923|17983|17905|18103|18001|17851|18031|17887|18010|17875|17950|18082|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","4.44E-20","","GO:0009966","1.6197910742118267","0"
